Character,Bridge Score (Betweenness)
Karenin,0.42857142857142855
Betsy,0.22222222222222218
Stiva,0.14285714285714285
Kitty,0.09523809523809523
Dolly,0.031746031746031744
Anna,0.0
Vronsky,0.0
Levin,0.0
