chapter_index,chapter_label,anna_count,levin_count,primary
189,Chapter 32,13,0,Anna
190,Chapter 1,0,5,Levin
191,Chapter 2,0,10,Levin
192,Chapter 3,0,34,Levin
193,Chapter 4,0,15,Levin
194,Chapter 5,0,12,Levin
195,Chapter 6,0,18,Levin
196,Chapter 7,0,20,Levin
197,Chapter 8,2,18,Levin
198,Chapter 9,4,9,Levin
199,Chapter 10,7,33,Levin
200,Chapter 11,8,11,Levin
201,Chapter 12,3,4,Levin
202,Chapter 13,0,5,Levin
203,Chapter 14,0,25,Levin
204,Chapter 15,0,9,Levin
205,Chapter 16,0,7,Levin
206,Chapter 17,2,0,Anna
207,Chapter 18,6,0,Anna
208,Chapter 19,3,0,Anna
209,Chapter 20,0,0,none
210,Chapter 21,0,0,none
211,Chapter 22,1,0,Anna
212,Chapter 23,5,0,Anna
213,Chapter 24,7,0,Anna
214,Chapter 25,13,0,Anna
215,Chapter 26,4,0,Anna
216,Chapter 27,5,0,Anna
217,Chapter 28,18,1,Anna
218,Chapter 29,2,1,Anna
219,Chapter 30,2,0,Anna
220,Chapter 31,13,0,Anna
221,Chapter 1,0,1,Levin
222,Chapter 2,0,0,none
223,Chapter 3,0,0,none
224,Chapter 4,0,0,none
225,Chapter 5,0,0,none
226,Chapter 6,0,2,Levin
227,Chapter 7,0,0,none
228,Chapter 8,0,5,Levin
229,Chapter 9,0,5,Levin
230,Chapter 10,0,5,Levin
231,Chapter 11,0,9,Levin
232,Chapter 12,0,2,Levin
233,Chapter 13,0,5,Levin
234,Chapter 14,0,22,Levin
235,Chapter 15,0,10,Levin
236,Chapter 16,0,6,Levin
237,Chapter 17,0,9,Levin
238,Chapter 18,0,5,Levin
239,Chapter 19,0,4,Levin
