Word,PMI_Score
pokrovskoe,1.9829081257685999
konstantin,1.946540481597725
krak,1.8005865689746452
rode,1.7315936974876938
wagonette,1.7205438613011088
blushing,1.6399633746417692
divided,1.6262331818298676
gloomily,1.6200026320792316
tit,1.5309230020255427
longing,1.5129044965228642
